temperature,humidity,cloud_cover,irradiance,hour,month,solar_output
19.0,55,21,417.9,9,7,2.89
30.1,42,99,55.9,16,4,0.31
6.9,85,97,50.2,13,11,0.25
14.7,76,29,441.5,12,8,2.87
32.2,60,24,627.7,14,5,3.74
18.0,89,27,508.4,12,7,3.02
13.1,63,64,124.7,8,10,0.62
28.9,68,44,240.5,8,3,2.15
15.8,32,67,224.4,13,7,1.42
8.0,37,6,297.6,10,11,2.0
14.1,52,48,219.2,9,11,1.11
16.7,43,8,487.7,13,8,2.81
29.0,85,35,569.4,11,5,3.78
29.2,84,82,110.5,7,4,0.93
15.6,56,0,361.1,9,8,2.26
17.6,83,9,87.2,17,8,0.45
33.1,58,35,319.0,16,3,1.8
29.6,68,72,285.5,9,6,1.55
29.8,82,45,531.9,11,5,2.9
24.5,68,31,620.7,11,2,3.91
15.4,30,31,36.4,6,8,0.33
16.6,46,5,529.5,13,12,3.32
26.6,70,47,537.3,11,6,3.14
28.9,59,37,248.1,8,2,1.52
21.3,82,16,355.6,14,12,2.05
28.0,42,73,32.1,7,5,0.04
26.5,50,26,260.9,16,1,1.89
18.5,48,53,230.5,13,12,1.41
9.7,82,49,165.5,15,10,1.09
29.5,48,34,298.8,8,6,1.93
20.1,86,84,50.9,18,12,0.33
10.0,54,24,103.9,17,9,0.67
25.2,51,27,438.1,10,1,2.41
14.6,60,14,392.2,11,11,2.17
18.4,46,3,251.3,15,11,1.32
8.7,84,92,64.5,11,10,0.51
13.9,52,72,152.9,9,12,0.93
8.9,61,26,217.1,8,12,1.12
30.4,39,25,546.7,9,3,3.33
16.1,39,18,0.0,6,12,0.11
18.3,65,91,147.2,9,7,0.74
29.8,37,16,91.1,6,4,0.53
7.4,83,42,0.0,17,9,0.11
32.3,81,40,0.0,6,3,0.0
27.2,49,41,430.4,15,5,2.67
37.9,61,49,505.4,11,3,2.94
19.5,79,83,248.2,10,7,1.29
26.4,43,39,322.4,16,5,1.97
10.1,79,38,274.4,9,9,1.72
15.8,57,22,0.0,18,7,0.0
26.4,75,95,102.3,16,2,0.5
28.7,81,51,234.7,8,4,1.19
14.7,82,46,0.0,6,9,0.0
14.2,53,62,222.4,11,12,1.33
29.2,44,96,0.0,7,2,0.0
12.3,51,68,172.1,13,10,0.74
11.4,59,42,203.1,15,9,1.08
14.7,33,47,213.2,10,10,1.2
31.5,42,33,719.1,12,5,4.37
33.8,88,39,465.8,15,2,2.82
28.8,52,74,68.3,17,4,0.57
15.2,37,60,89.3,7,12,0.39
19.7,47,49,14.6,18,12,0.12
15.4,41,66,293.4,13,7,1.28
19.0,84,61,83.8,7,12,0.59
16.3,60,57,268.9,9,8,1.74
26.0,43,32,0.0,6,3,0.0
15.9,63,74,126.2,10,1,0.82
28.0,47,15,714.2,14,4,3.93
18.1,85,81,37.9,6,2,0.07
13.5,63,93,78.8,14,8,0.63
31.9,40,47,265.1,16,4,1.65
23.6,70,9,700.7,13,2,4.12
29.2,41,81,233.6,11,6,1.54
30.0,78,37,599.2,12,6,3.55
13.8,44,18,182.9,8,10,1.0
30.7,86,35,0.0,6,4,0.0
18.0,60,58,359.2,10,6,2.06
22.9,78,62,104.3,17,2,0.39
9.6,87,76,42.2,17,10,0.5
12.3,58,45,25.5,7,12,0.04
24.6,55,2,732.7,10,2,4.23
14.8,47,73,110.5,13,10,0.36
25.1,61,64,264.0,16,4,1.06
20.4,51,90,97.1,14,8,0.72
22.7,67,7,211.5,7,7,1.43
15.8,46,50,63.2,17,12,0.62
9.2,52,80,48.3,8,9,0.26
12.4,53,72,171.5,8,8,0.96
23.8,79,5,21.8,6,5,0.03
30.2,37,88,135.0,13,2,0.71
33.3,70,38,654.9,11,5,4.02
10.8,35,59,40.1,17,8,0.24
8.3,34,27,11.3,18,10,0.14
12.6,73,96,149.7,13,9,0.81
14.1,86,53,72.3,16,12,0.7
9.2,58,36,313.2,14,12,1.5
13.0,57,8,462.4,10,12,2.53
17.2,40,81,69.1,17,9,0.49
18.2,86,55,114.7,8,1,1.04
10.8,30,58,105.4,10,9,0.59
16.6,72,84,202.5,10,7,1.05
13.1,48,1,341.8,10,9,2.25
15.3,38,60,88.4,8,8,0.6
17.8,56,57,248.0,16,1,1.75
11.1,63,59,185.9,15,12,0.86
19.2,73,39,256.2,9,8,1.78
10.2,33,35,317.3,14,8,1.59
12.9,65,36,0.0,18,11,0.0
22.2,47,78,236.0,15,3,1.5
22.1,44,91,130.2,14,1,0.82
17.9,80,17,129.0,7,8,0.99
31.9,42,97,111.9,13,3,0.29
28.2,48,62,395.2,13,3,2.37
24.8,78,21,613.3,12,1,3.92
18.3,35,10,379.9,13,11,2.29
27.7,77,57,230.5,8,5,1.14
8.6,85,56,26.5,18,10,0.36
20.4,41,76,224.1,11,7,1.21
8.6,80,3,82.1,6,10,0.33
9.5,66,85,15.4,12,9,0.0
13.4,46,6,15.0,6,12,0.05
25.1,87,60,243.6,14,7,1.5
13.7,52,53,0.0,6,9,0.0
13.6,55,87,0.0,6,8,0.0
7.6,58,67,221.1,12,12,1.19
20.4,62,91,44.8,7,2,0.08
21.5,89,78,104.8,10,1,0.64
13.6,56,0,649.1,13,7,3.97
20.9,54,54,361.6,13,7,2.21
11.8,85,2,226.2,8,8,1.4
28.9,84,77,238.9,12,5,1.75
28.9,39,37,207.3,8,3,1.31
15.4,76,0,498.1,11,12,3.15
13.8,52,37,296.9,11,8,1.7
23.7,50,84,54.5,8,6,0.52
9.2,50,28,315.7,12,11,1.8
30.1,72,4,432.6,8,3,2.63
22.4,42,73,173.6,13,1,0.77
25.0,66,91,17.1,15,3,0.14
28.5,62,20,571.6,9,5,3.19
29.3,53,70,37.6,18,3,0.41
20.6,73,66,0.0,6,1,0.18
29.2,40,46,384.4,9,5,2.17
8.8,46,83,101.3,12,10,1.02
20.8,33,82,170.6,16,7,0.97
21.9,76,34,265.1,9,7,1.27
11.8,54,67,0.0,18,11,0.0
12.9,59,68,78.9,11,9,0.26
13.0,38,0,364.5,14,10,2.26
4.4,50,67,0.0,6,10,0.0
17.8,49,11,10.1,18,12,0.0
29.7,48,59,397.5,10,3,2.4
16.7,48,26,317.6,16,7,1.93
22.4,41,55,380.4,12,1,2.28
28.8,66,22,41.5,6,4,0.27
29.2,71,24,501.1,9,4,2.88
27.1,46,20,819.9,11,5,4.56
20.9,66,60,47.2,7,7,0.2
17.6,83,62,185.5,15,7,1.21
14.0,77,51,219.8,10,11,1.29
29.6,68,87,123.6,16,4,0.81
18.9,57,24,334.5,15,7,1.89
13.6,70,54,0.0,6,11,0.2
27.7,64,45,626.0,11,3,3.2
27.8,76,31,518.6,11,6,3.1
17.9,77,54,74.3,18,12,0.72
21.0,47,95,75.1,9,2,0.75
13.3,43,4,0.0,18,10,0.0
7.0,64,35,222.9,13,9,1.07
32.2,73,48,337.3,9,5,2.24
31.1,70,57,368.6,13,6,2.15
17.6,89,38,0.0,18,12,0.0
8.5,36,79,18.4,13,12,0.0
18.2,70,96,74.1,10,12,0.19
21.7,42,84,0.0,18,12,0.11
29.1,47,60,394.8,9,4,2.46
11.2,66,8,92.2,17,11,0.59
6.4,42,5,47.1,18,10,0.13
20.9,65,34,181.3,7,7,0.87
18.8,60,38,235.1,16,12,1.12
13.4,31,21,150.2,8,9,0.79
29.4,45,40,195.0,8,7,0.95
20.1,38,4,465.9,9,1,2.45
15.1,38,41,344.1,9,1,2.2
11.9,67,86,44.8,15,9,0.01
4.1,40,80,55.7,16,11,0.53
9.7,83,75,85.2,16,9,0.59
34.9,85,86,150.5,10,4,0.93
12.3,51,79,41.5,9,9,0.58
29.2,62,66,186.9,16,3,0.85
25.5,65,29,364.5,15,7,2.36
24.2,74,56,428.9,13,6,2.51
18.8,52,85,158.4,11,8,1.46
11.7,74,72,94.7,11,11,0.49
12.5,74,28,277.4,13,9,1.56
25.0,63,36,600.3,12,5,3.69
18.6,38,86,182.5,15,1,1.05
24.5,53,12,422.1,16,3,2.38
9.7,37,31,75.4,17,10,0.26
16.2,36,45,234.3,15,12,1.7
11.7,65,22,0.0,18,8,0.0
17.5,47,44,335.0,13,11,2.05
25.8,32,16,208.9,7,6,1.46
15.2,57,84,118.2,14,8,0.93
13.6,35,65,0.0,6,9,0.0
27.5,73,100,38.5,13,4,0.19
20.5,73,5,157.6,17,1,0.87
17.8,50,17,261.5,16,1,1.26
14.7,57,93,0.0,17,10,0.11
26.8,69,21,191.4,17,4,1.15
15.2,83,32,266.1,9,12,1.88
21.0,83,29,372.9,9,7,2.07
26.2,30,80,180.9,10,2,1.3
26.9,65,31,618.1,13,3,3.91
17.3,50,41,333.9,10,1,2.01
27.0,89,77,345.3,13,5,1.62
21.6,72,9,392.3,15,1,2.25
14.6,64,35,18.2,6,8,0.47
22.4,42,33,153.3,17,1,0.98
12.8,86,72,103.5,15,11,0.76
13.2,78,27,547.3,14,1,3.27
25.7,83,10,772.2,11,2,4.57
31.8,83,77,222.6,8,2,0.93
19.0,39,38,0.0,18,12,0.16
26.3,82,46,449.4,13,6,2.9
16.8,73,18,534.4,14,7,3.02
30.1,76,14,797.2,11,5,4.65
22.2,82,27,349.2,16,1,2.03
19.2,39,23,572.2,12,1,3.52
29.6,75,71,0.0,6,3,0.0
29.5,42,8,596.3,10,2,3.7
26.1,66,46,483.2,10,5,2.9
11.8,67,32,272.4,15,12,1.12
12.1,53,61,143.3,9,10,0.95
26.4,31,96,172.2,11,6,1.23
23.1,51,18,640.6,12,7,3.61
31.7,46,66,322.7,14,4,1.97
